Instructions: Visually estimate position of each letter on each axis to the nearest 0.25 point,,,,,,,,,
Section,Team,I_Cost,I_Benefit,C_Cost,C_Benefit,O_Cost,O_Benefit,N_Cost,N_Benefit
Natural Hazards,A,6.25,7.75,2.25,8.25,5,9,4.25,6.75
Natural Hazards,B,7.5,9,2,8,5,9.5,3.5,8
Natural Hazards,C,6,8.25,2.25,8.25,4.25,9.25,4.25,7.75
Ocean Sciences ,A,1,9,8,7,6,7,4,8
Ocean Sciences ,B,5,7.5,3,8.25,9.25,9.5,2.75,4.75
Ocean Sciences ,C,7,8.25,4.75,7.75,3.75,8.25,7.5,7.5
Atmospheric Sciences ,A,3.5,6,4.25,7.75,6,8,3.75,7.75
Atmospheric Sciences ,B,6,7,4.25,8,6.5,8.75,4.5,9
Biogeosciences ,A,6.75,9,7.25,8,6,9,6.25,8
Biogeosciences ,B,5.5,9,5,9.5,5,8.75,5,7.25
Biogeosciences ,C,7,8.5,7,7,5,7.5,9,4.75
Cryosphere Sciences ,B,4.5,5,6.25,6.75,5.25,8.5,2.5,8.75
Cryosphere Sciences ,C,4.5,8.5,1,8.25,2.75,8.5,5.25,6.5
Earth and Space Science Informatics,A,9,8,7.25,9.5,8.25,9,7.25,8
Earth and Space Science Informatics,B,9.25,9.25,6.75,9.25,9.25,8.5,8.75,9
Earth and Space Science Informatics,C,8,8,9,9,7.75,9.25,7,8.5
Geodesy,A,7.5,8.5,2.25,8.5,5.5,9.5,9.25,9.5
GeoHealth,A,3.75,3.75,4.75,8.25,6.75,8.25,6,8.75
Hydrology ,A,1,8.5,7.75,8.75,5.5,8.75,3.35,8.5
Hydrology ,B,3.25,9,7.5,7.75,5.5,9.25,7,9.25
Hydrology ,C,1.25,8.75,2.25,8.75,0.75,8.75,1.75,8.75
Paleoceanography and Paleoclimatology,A,7.25,9,7.25,9.25,6,8,5,9.25
Paleoceanography and Paleoclimatology,B,6.25,9,7,8,6.25,6,5,8.75
Paleoceanography and Paleoclimatology,C,7.75,7.25,4,8,9,9,1.25,7
Seismology,A,2,8.75,2,8,3,9.5,2,7
Seismology,B,3.75,9.5,5,8,5,9,2,7
Space Physics and Aeronomy,A,3.5,6.25,4.75,8.5,3.75,8.5,1.5,8.5
Techtonophysics,A,8,7,7,8,4,9,5,8
Techtonophysics,B,4.25,8,9,8,6,8.75,8.5,9.25
"Geomagnetism, Paleomagnetism and Electromagnetism",A,8.5,9.25,5.25,8,7,8,9,6.5
"Geomagnetism, Paleomagnetism and Electromagnetism",B,9,7.75,6.25,9,7.75,9,9,6.75